user_id,pagerank,degree,weighted_degree
13,0.0037025307598389508,942,69999
655,0.003490909065083325,942,65952
450,0.003406004808716152,942,65172
416,0.003380372441232422,942,63759
276,0.003348304122167881,942,63775
537,0.0032905191397386326,942,61934
303,0.0032440742961118555,942,61681
234,0.0030464275546317732,942,58033
429,0.003001839469130666,942,57746
293,0.003000773097631956,942,57192
682,0.0028979872172341737,942,55029
308,0.002872451597504017,942,55176
378,0.00286163338988778,942,54247
92,0.0028517467449920334,942,54348
94,0.0028467229070120773,942,54582
59,0.0028443789414818637,942,54575
222,0.002819385628959724,942,53633
592,0.0028149281788828035,942,51511
435,0.0028069186195931973,942,53371
393,0.0027917378497224685,942,52631
796,0.002786054374573847,942,52622
7,0.0027502092850236253,942,52603
758,0.00274289767520226,942,50983
896,0.0027361900083872517,942,52033
201,0.0027340088222824943,942,51332
405,0.0026761509558189235,929,52125
551,0.002670913949010151,942,50111
474,0.0026674261716323026,942,50260
561,0.0026418285628794693,942,50405
417,0.0026387238717814395,942,49994
880,0.00262785732506283,942,49289
334,0.002617844487072802,942,48404
178,0.0025994761165311566,942,48122
804,0.0025953300667005135,940,49410
130,0.002584151479477632,942,47906
406,0.002547803910784239,931,48613
889,0.0025462846466506985,942,48102
327,0.0025301914194406686,942,47118
846,0.0025103952685143547,940,48305
864,0.0025050614679413613,941,47518
650,0.0024971242328525743,942,47386
533,0.0024805025613821585,942,46169
194,0.0024653846214773767,937,47128
749,0.0024533279773587993,940,46472
271,0.0024469405163551664,942,45640
301,0.00244357502069964,942,46270
916,0.0024426267465955335,939,46574
363,0.0024222199385962413,942,45509
457,0.0024167079449393183,936,45835
268,0.002404482498208151,942,45399
727,0.0023962392133447907,939,45353
387,0.002383403079975838,942,44959
524,0.002372750375036655,942,44675
151,0.0023572989671068424,941,44467
653,0.0023531326730082524,942,44270
311,0.0023432748481605897,941,44409
279,0.002341754325918408,942,44272
85,0.0023370174032550928,942,43548
328,0.0023226728863400114,942,42939
648,0.002320194927249757,940,43781
747,0.002305892482586982,942,42985
269,0.0022990314306211134,923,43557
399,0.0022953174398256324,942,43325
145,0.002273653286196694,942,41332
313,0.0022684216330009182,938,42826
881,0.0022638602127843825,941,42571
606,0.00225098267191683,942,42011
716,0.0022496162467406733,938,42702
666,0.0022313534419276543,942,41405
805,0.0022312424530774653,942,41728
374,0.002223687211898722,937,41593
1,0.0022163424770561143,942,41562
95,0.0022135803739692372,937,41955
339,0.0022061398781264585,942,41395
299,0.002174073762975643,942,40027
109,0.002152340654421008,937,40290
870,0.002148054446526662,942,39915
62,0.0021424173101360967,942,39716
497,0.00214198955338696,942,40243
90,0.0021322990285646036,942,38958
18,0.0021304406257987765,925,40102
43,0.002129431188599157,942,39028
454,0.0021254832930511646,942,39121
343,0.0021031304967442975,942,39093
437,0.0020934443910427415,941,39320
286,0.002092431362192411,942,38774
407,0.0020918151293610452,942,39160
472,0.0020892574582119894,941,39031
280,0.002087256385946058,942,38851
345,0.0020807962254058192,942,37747
487,0.0020745372026982492,942,38353
64,0.002064082005214001,942,38282
297,0.002061602887035235,942,37523
883,0.002058619469173493,941,37724
788,0.002057772350103752,942,38141
207,0.0020577232181041203,942,37912
305,0.0020422669352811577,941,37436
347,0.0020366392068932155,942,37335
854,0.0020358605288468357,942,36852
184,0.002035004799739507,941,37694
479,0.002033621686119039,942,37311
892,0.0020224174612447,938,38066
919,0.0019934618531457114,942,34839
291,0.0019922440434384367,930,37269
833,0.0019908263510490178,942,37056
389,0.0019902914843748054,940,37254
6,0.0019819673561951687,942,36157
144,0.0019798851929131904,942,35721
618,0.001979761986552858,932,37110
514,0.0019731894603427186,942,36244
642,0.0019626667098737406,942,36684
886,0.0019619175480526693,933,36861
102,0.0019512152768349459,942,35487
588,0.0019497970067029306,942,35787
660,0.0019460657817842073,940,36090
500,0.0019418162057954701,942,35259
455,0.001939672693093673,942,35139
790,0.0019381784376227157,941,35837
425,0.0019290847235418356,942,34370
532,0.001925609589556311,942,34998
344,0.0019149105420290476,942,34502
200,0.0019116530432242618,942,35263
643,0.0019040138464127725,919,35651
774,0.0018954932803553466,939,35448
385,0.0018924297334147343,932,35194
506,0.0018924110366093806,941,35270
373,0.0018916683311185883,941,35465
504,0.001888225195364507,942,34874
181,0.001875624745660534,942,32124
622,0.0018730569035150652,888,35016
244,0.001867750011235583,940,34594
198,0.00185641232798187,941,34350
535,0.0018389652099999952,941,33684
452,0.0018298124150578925,942,33711
823,0.001823258245785487,939,33931
843,0.0018218226249074915,941,33906
711,0.001802522396893903,941,33084
456,0.0017915869695462542,940,33011
379,0.0017873405666779941,942,33034
332,0.0017766392331491421,940,31739
897,0.0017740210983066048,924,32945
488,0.0017698255569907014,942,31767
56,0.0017683485384808713,936,32723
354,0.0017671030416199617,941,31946
933,0.001760246106107114,814,32858
249,0.0017520866867238411,941,31743
128,0.0017494543634417365,941,31932
458,0.0017456622225209798,942,31338
840,0.0017444878469180267,932,32241
346,0.0017408371911411538,941,31886
60,0.0017384916860970945,927,32223
868,0.0017342335057094662,902,32305
577,0.0017304163386965448,937,32044
894,0.0017299603051233287,942,29236
815,0.0017205180698792138,930,31897
119,0.0017093928671040564,942,30076
495,0.0017068483786355352,904,31966
42,0.00170492896896995,886,31598
757,0.0017016216103838936,942,30965
87,0.0016939545697013793,930,31334
256,0.001687667536148451,938,30592
654,0.0016835121008203406,942,30048
807,0.0016833739360795545,941,30900
82,0.0016824281928487876,941,30262
44,0.0016819114298152658,941,30690
521,0.0016776853765921983,941,30577
663,0.00167762843652544,942,29113
862,0.0016744495032021379,934,30598
738,0.0016701467526316187,935,30659
543,0.0016605542549624009,936,30596
932,0.0016596540291339956,814,30841
295,0.0016518266405253265,813,30754
49,0.0016506604946582197,942,29671
659,0.0016437348347744666,941,30184
548,0.0016369583596511554,942,27988
715,0.0016364209201391098,916,30040
10,0.0016363454230974015,942,29588
326,0.0016326374483355969,809,30424
664,0.0016297913219495638,941,29668
627,0.001627607734732736,941,29743
398,0.0016273512709882158,822,30087
158,0.0016232403500815447,939,29549
665,0.0016205479734317163,941,28918
267,0.0016189873636258908,901,29976
401,0.0016154359741987812,942,28857
484,0.0016149204589183531,940,29316
721,0.0016008151759989361,942,27456
751,0.0016007870934272171,941,28787
693,0.0015993521139149873,941,29020
314,0.0015954003617196083,939,28861
312,0.0015900490207679766,884,29192
593,0.0015865569401525244,942,28569
189,0.0015857015433093805,935,28687
342,0.001584356300153399,942,28371
913,0.0015832162801766075,942,28366
296,0.0015791782506310672,942,27631
447,0.001576590544966872,942,28072
468,0.0015759364999387362,937,28322
493,0.0015745569725770193,941,27931
246,0.0015705365103087093,928,28714
380,0.0015695152208229429,939,28280
409,0.0015616202373188559,940,27863
23,0.0015561860209855108,938,28301
486,0.0015555572169199633,942,26068
851,0.0015524222975296165,942,26887
125,0.0015520556461623713,941,27902
899,0.0015511658648612696,925,28261
882,0.001549019855123567,935,28032
11,0.0015412797701885089,942,27688
798,0.0015384268593473978,941,27865
213,0.00153812263281355,940,27527
58,0.0015275833620136162,939,27212
943,0.0015214159006552185,810,27967
503,0.0015211109608016585,937,27185
608,0.0015183438551752745,942,26766
262,0.0015178661676531042,941,27284
318,0.001517412365958326,942,27136
601,0.0015105640587851972,936,27159
806,0.0015059751727686335,942,26987
934,0.001503649137266316,935,27264
290,0.0015006057817071716,888,27432
330,0.0015005766854344741,913,27338
887,0.001498185412535915,933,26911
16,0.0014974846084632662,942,26970
545,0.0014914880716487494,927,27282
99,0.0014895388185990092,941,25709
586,0.0014888305043578882,908,27219
536,0.0014885923503352167,885,27290
394,0.0014841385076237732,936,26993
566,0.001482000243734132,938,26860
453,0.0014808766887140386,940,26707
294,0.0014712611694071061,941,24568
707,0.0014680773365078569,941,26017
